نماد	تغییر	بازار	گروه
وتوشه	2.66	1	29
فباهنر	2.67	1	27
خاهن	2.67	1	34
شپترو	2.72	4	44
سمازن	2.73	1	53
زماهان	2.75	2	1
بزاگرس	2.75	2	40
وايرا	2.77	4	56
حپارسا	2.79	2	60
آساس	2.82	2	68
هجرت	2.83	2	43
ارمغان	2.85	1	68
بميلا	2.88	4	46
فلات	2.89	4	56
ريشمك	2.9	2	43
خفنر	2.91	1	34
غويتا	2.95	2	42
كهمدا	2.95	1	54
سامان	2.96	4	57
ومعلم	2.98	2	66
مداران	2.99	1	72
زفكا	3	2	1
شكبير	3	4	44
گكيش	3	4	55
دي	3.01	2	57
آبين	3.03	4	1
كگهر	3.03	2	13
وصنا	3.03	1	56
خمحركه	3.06	1	34
ثمسكن	3.06	1	70
پكوير	3.08	1	25
حبندر	3.08	4	60
فجام	3.11	1	28
اتكاي	3.13	2	66
فولاد	3.14	1	27
فولاي	3.15	2	27
همراه	3.15	1	64
وسبحان	3.16	2	56
فسا	3.17	4	44
بالاس	3.17	2	45
سخاش	3.17	1	53
پاسا	3.19	1	25
ختور	3.2	1	34
فارس	3.21	1	44
كصدف	3.23	4	49
تكمبا	3.24	1	29
خكار	3.27	1	34
دسبحا	3.29	1	43
سنير	3.32	1	53
كاما	3.33	1	13
خديزل	3.33	2	34
لبوتان	3.35	1	29
پكرمان	3.37	1	25
نوري	3.37	1	44
وبوعلي	3.37	1	56
كفرا	3.38	1	54
تنوين	3.4	1	67
دكوثر	3.43	1	43
سبهان	3.43	1	53
وپسا	3.44	4	45
وتوسم	3.46	1	56
وسديد	3.48	4	27
خنصير	3.49	1	34
ركيش	3.49	1	72
سخوزح	3.5	1	53
خراسان	3.54	1	44
وبملت	3.55	1	57
وپست	3.55	1	57
وشهر	3.57	4	57
ولصنم	3.58	1	58
فاذر	3.61	1	28
پارس	3.62	1	44
پاكشو	3.65	1	44
فسرب	3.66	1	27
شبندر	3.67	1	23
بنيرو	3.68	1	31
قشير	3.74	2	38
ثالوند	3.75	2	70
نمرينو	3.78	1	17
وبيمه	3.78	1	56
آگاس	3.79	2	68
كپارس	3.8	1	49
كايتا	3.81	4	54
فنوال	3.82	1	27
قنقش	3.82	4	38
فسپا	3.84	1	27
وزمين	3.84	4	57
جهرم	3.85	4	44
جم پيلن	3.88	1	44
شبهرن	3.92	1	23
وگردش	3.94	4	57
سفارود	3.96	4	54
كاوه	3.98	1	27
دعبيد	3.98	1	43
خصدرا	4	4	45
شتران	4.02	1	23
زنجان	4.03	4	44
زقيام	4.04	2	1
البرز	4.04	1	66
سپاها	4.05	1	53
دكپسول	4.06	2	43
ورازي	4.06	4	66
سايرا	4.07	4	54
تاصيكو	4.1	1	13
زدشت	4.11	2	1
تيپيكو	4.11	1	43
پخش	4.12	2	43
نوين	4.13	2	66
مفاخر	4.14	2	72
ثعتما	4.18	4	70
خاذين	4.2	1	34
فالوم	4.21	4	27
وپاسار	4.21	1	57
ثفارس	4.22	1	70
غشوكو	4.23	4	42
شپارس	4.23	1	44
سشمال	4.23	1	53
سكرما	4.25	1	53
ميدكو	4.26	2	27
بترانس	4.26	1	31
اپرداز	4.26	2	73
گكوثر	4.27	2	55
حسير	4.27	2	60
توريل	4.29	2	60
زگلدشت	4.31	2	1
تاپكيش	4.33	2	72
شگل	4.34	1	44
سيمرغ	4.35	1	1
بساما	4.36	2	66
خموتور	4.38	1	34
ثنور	4.39	4	70
ما	4.4	1	66
زاگرس	4.41	2	44
سبجنو	4.43	1	53
سخوز	4.44	1	53
واتي	4.44	1	56
كسرام	4.46	1	54
فاراك	4.47	1	28
بكام	4.49	1	31
كگاز	4.5	1	54
پتاير	4.51	1	25
لوتوس	4.51	1	67
غبشهر	4.55	1	42
شلرد	4.62	4	44
آسيا	4.64	1	66
شتوكا	4.66	2	44
بخاور	4.67	4	66
كطبس	4.68	1	10
زنگان	4.71	2	27
شپنا	4.74	1	23
ورنا	4.75	1	34
خزاميا	4.77	1	34
غمينو	4.77	2	42
شبريز	4.82	1	23
شفا	4.83	1	43
سفارس	4.85	1	53
غمارگ	4.86	1	42
درهآور	4.86	2	43
ساروم	4.86	1	53
ثغرب	4.89	2	70
بمپنا	4.92	2	40
كگل	4.93	1	13
كيميا	4.94	2	27
وبهمن	4.94	1	56
وسرمد	4.97	4	66
وساپا	4.98	1	56
وساخت	4.98	1	70
ثباغ	4.99	2	70
مارون	5	2	44
وآذر	5	1	70
پرديس	5.01	1	56
زشريف	5.04	2	1
ملت	5.1	1	66
چكارن	5.12	1	21
غسالم	5.14	1	42
شپديس	5.14	1	44
فلامي	5.15	1	28
وملي	5.16	1	19
فخوز	5.2	1	27
قزوين	5.2	1	38
غپآذر	5.2	2	42
كتوكا	5.2	2	54
تكنو	5.21	1	29
بفجر	5.21	1	40
قنيشا	5.24	1	38
ولغدر	5.24	1	58
شسپا	5.26	1	23
فنورد	5.26	1	27
خمحور	5.26	1	34
پخشح	5.26	2	43
شسينا	5.26	1	44
شخارك	5.26	1	44
پرداخت	5.26	1	72
خكرمان	5.27	4	34
وارس	5.27	4	65
كاردان	5.27	1	68
حكشتي	5.33	1	60
بنو	5.33	4	66
وبانك	5.34	1	39
تاپيكو	5.34	1	44
كشرق	5.35	2	10
هرمز	5.35	2	27
پارسيان	5.46	1	66
شيراز	5.47	1	44
ستران	5.47	1	53
خكمك	5.48	1	34
حرهشا	5.49	4	60
وغدير	5.51	1	39
وصندوق	5.52	1	39
فيروزه	5.52	1	68
ولملت	5.53	1	58
چكاپا	5.56	2	21
شبصير	5.56	2	44
سيدكو	5.57	1	53
وبشهر	5.6	1	42
فايرا	5.62	1	27
بپاس	5.62	2	66
تايرا	5.67	1	29
شاراك	5.69	1	44
وكادو	5.76	4	56
وخاور	5.8	1	57
اميد	5.84	1	67
فاسمين	5.85	1	27
وآداك	5.91	4	56
كروي	5.95	1	13
لخزر	6	1	29
اخابر	6	1	64
دشيري	6.02	4	43
ساروج	6.02	4	53
خوساز	6.05	1	34
جم	6.05	1	44
وتعاون	6.05	4	66
وسپه	6.06	1	56
وآفري	6.09	4	66
مبين	6.1	1	40
ممسني	6.15	4	44
پارتا	6.17	4	25
خودرو	6.17	1	34
قپيرا	6.17	1	38
كهرام	6.17	4	49
كمينا	6.17	4	54
وحافظ	6.17	4	66
سيستم	6.17	1	72
شرنگي	6.18	4	44
وثخوز	6.18	4	70
غدام	6.2	1	42
كرماشا	6.21	1	44
غشهداب	6.29	2	42
هاي وب	6.29	1	73
فمراد	6.31	1	27
خساپا	6.35	1	34
پترول	6.42	1	44
ثشاهد	6.45	1	70
كخاك	6.5	1	54
وصنعت	6.52	1	56
شيران	6.54	1	44
زشگزا	6.56	2	1
خبهمن	6.57	1	34
ونفت	6.58	1	23
رمپنا	6.59	1	74
غگلستا	6.62	2	42
پارسان	6.66	1	44
غشهد	6.7	1	42
شكربن	6.74	1	44
شپاكسا	6.8	1	44
حتايد	6.81	1	60
خزر	6.84	1	34
شرانل	6.89	2	23
دپارس	6.92	1	43
كمنگنز	6.93	1	13
